target_class,id,smiles,source,assayed_any,n_assays,n_assayed_targets,assayed_targets,assay_rounds,label_pkd_mean,label_pkd_max,label_pkd_min,murcko_scaffold,scaffold_type,scaffold_library_count,scaffold_assayed_count,umap_x,umap_y,assay_plot_group
fasn,Z2207423134,Cc1cc(NC(=O)/C=C\c2ccc(OCC#N)cc2)ccc1-c1ccncc1,Enamine,False,0,0,,,,,,O=C(/C=C\c1ccccc1)Nc1ccc(-c2ccncc2)cc1,murcko,1,0,-7.172439098358154,3.7401845455169678,Unassayed
fasn,Z73447879,CC(C)c1ccc(-c2nnc(NC(=O)CCCn3cnc4c3c(=O)n(C)c(=O)n4C)s2)cc1,Enamine,False,0,0,,,,,,O=C(CCCn1cnc2[nH]c(=O)[nH]c(=O)c21)Nc1nnc(-c2ccccc2)s1,murcko,1,0,-6.547884464263916,0.8567429184913635,Unassayed
fasn,Z207325678,COc1cc2c(cc1NC(=O)CSc1nc(C)c(CC(N)=O)s1)oc1ccccc12,Enamine,False,0,0,,,,,,O=C(CSc1nccs1)Nc1ccc2c(c1)oc1ccccc12,murcko,1,0,-5.697619915008545,0.7045978903770447,Unassayed
fasn,Z9656925315,CN(C(=O)Nc1ccc(-c2cccs2)c(F)c1)[C@H]1CC[N@H+](C2CCOCC2)CC1,Enamine,False,0,0,,,,,,O=C(Nc1ccc(-c2cccs2)cc1)N[C@H]1CC[N@H+](C2CCOCC2)CC1,murcko,1,0,-8.555802345275879,4.568387508392334,Unassayed
fasn,Z595004620,O=C(Nc1ccc(-n2cccn2)c(F)c1)[C@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,Enamine,False,0,0,,,,,,O=C(Nc1ccc(-n2cccn2)cc1)[C@H]1CC(=O)N(c2ccc3c(c2)OCO3)C1,murcko,1,0,-9.491947174072266,3.8306334018707275,Unassayed
fasn,Z145761410,C[C@@]1(CSc2ccccc2C(=O)Nc2ccc(-c3nc4ccccc4s3)cc2)NC([O-])=NC1=O,Enamine,False,0,0,,,,,,O=C(Nc1ccc(-c2nc3ccccc3s2)cc1)c1ccccc1SCC1NC=NC1=O,murcko,1,0,-7.617241382598877,3.4454047679901123,Unassayed
fasn,Z30927380,COc1cc2c(cc1NC(=O)CSCC(=O)Nc1cc(C)on1)oc1ccccc12,Enamine,False,0,0,,,,,,O=C(CSCC(=O)Nc1ccon1)Nc1ccc2c(c1)oc1ccccc12,murcko,1,0,-5.665380477905273,0.7285875678062439,Unassayed
fasn,Z2094442031,Cc1n[nH]c([C@H](C)NC(=O)[C@@H]2CC(=O)N(c3ccc4c(c3)Cc3ccccc3-4)C2)n1,Enamine,False,0,0,,,,,,O=C(NCc1ncn[nH]1)[C@@H]1CC(=O)N(c2ccc3c(c2)Cc2ccccc2-3)C1,murcko,1,0,-10.302456855773926,4.031407356262207,Unassayed
fasn,Z8610359644,C=CS(=O)(=O)N(Cc1cnn(-c2ccc(OC)cc2)c1)C[C@H]1CCC[C@@H]1N1CCCS1(=O)=O,Enamine,False,0,0,,,,,,O=S1(=O)CCCN1[C@H]1CCC[C@@H]1CNCc1cnn(-c2ccccc2)c1,murcko,1,0,-7.291140556335449,4.903579235076904,Unassayed
fasn,Z1344920909,O=C(CNC(=O)c1ccc2n[n-]nc2c1)Nc1ccc(-n2cnc3ccccc32)cc1,Enamine,False,0,0,,,,,,O=C(CNC(=O)c1ccc2n[n-]nc2c1)Nc1ccc(-n2cnc3ccccc32)cc1,murcko,1,0,-7.763324737548828,3.617401123046875,Unassayed
