target_class,id,smiles,source,assayed_any,n_assays,n_assayed_targets,assayed_targets,assay_rounds,label_pkd_mean,label_pkd_max,label_pkd_min,murcko_scaffold,scaffold_type,scaffold_library_count,scaffold_assayed_count,umap_x,umap_y,assay_plot_group
pa,Z1723440219,CN(Cc1ncn[nH]1)C(=O)c1cccc(-c2cnc3[nH]c(=O)n(C)c3c2)c1,Enamine,False,0,0,,,,,,O=C(NCc1ncn[nH]1)c1cccc(-c2cnc3[nH]c(=O)[nH]c3c2)c1,murcko,1,0,-7.364340782165527,-0.8026313781738281,Unassayed
pa,Z3919999805,CC(C)[C@@H](NS(=O)(=O)c1cccc2nsnc12)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,Enamine,False,0,0,,,,,,O=C(CNS(=O)(=O)c1cccc2nsnc12)NCCc1ccccc1,murcko,1,0,-6.157670021057129,0.8062658905982971,Unassayed
pa,Z18704919,COc1cc(/C=C/C(=O)OCC(=O)COC(=O)/C=C/c2ccc([O-])c(OC)c2)ccc1[O-],Enamine,False,0,0,,,,,,O=C(COC(=O)/C=C/c1ccccc1)COC(=O)/C=C/c1ccccc1,murcko,1,0,-4.368814945220947,2.322882890701294,Unassayed
pa,Z9000495030,Cc1nc2cc([C@@H](c3nnnn3[C@H]3CCOC3)N3CCC(c4ccc(O)cc4)CC3)ccc2[nH]1,Enamine,False,0,0,,,,,,c1ccc(C2CCN([C@@H](c3ccc4[nH]cnc4c3)c3nnnn3[C@H]3CCOC3)CC2)cc1,murcko,1,0,-7.2912726402282715,-2.4835541248321533,Unassayed
pa,Z1269321614,C[C@@H](Sc1nnc(C2CC2)n1Cc1ccco1)c1nc(-c2ncn[nH]2)no1,Enamine,False,0,0,,,,,,c1coc(Cn2c(SCc3nc(-c4ncn[nH]4)no3)nnc2C2CC2)c1,murcko,1,0,-7.535518169403076,-0.5523421168327332,Unassayed
pa,Z1999955649,Cc1nnc([C@H](Nc2ncnc3onc(C)c23)c2ccccc2)[nH]1,Enamine,False,0,0,,,,,,c1ccc([C@@H](Nc2ncnc3oncc23)c2nnc[nH]2)cc1,murcko,1,0,-6.407664775848389,-0.38515809178352356,Unassayed
pa,Z2046510329,N#C[C@@H](C(=O)c1cccc(-c2ncn[nH]2)c1)c1cnc2ccccc2n1,Enamine,False,0,0,,,,,,O=C(Cc1cnc2ccccc2n1)c1cccc(-c2ncn[nH]2)c1,murcko,1,0,-7.5763444900512695,-0.4666507840156555,Unassayed
pa,Z52676470,COC(=O)C[C@H]1c2cc(OC)c(OC)cc2CC[N@@H+]1Cc1nc(N)nc(Nc2ccc(C)cc2)n1,Enamine,False,0,0,,,,,,c1ccc(Nc2ncnc(C[N@H+]3CCc4ccccc4C3)n2)cc1,murcko,1,0,-5.647206783294678,1.2957412004470825,Unassayed
pa,Z1502693355,c1ccc([C@H](CNc2ncnc3nccnc23)c2c[nH]c3ccccc23)cc1,Enamine,False,0,0,,,,,,c1ccc([C@H](CNc2ncnc3nccnc23)c2c[nH]c3ccccc23)cc1,murcko,1,0,-5.434652805328369,-1.0255787372589111,Unassayed
pa,Z6739863936,COc1cc(-c2noc([C@@H](C)NC(=O)c3[nH]nc4ccccc34)n2)ncn1,Enamine,False,0,0,,,,,,O=C(NCc1nc(-c2ccncn2)no1)c1[nH]nc2ccccc12,murcko,1,0,-7.501925945281982,-0.2555290758609772,Unassayed
